bgsm,genlasso,l0pen,l0pen2,y
-0.4819869893629411,-0.9462435665985188,-0.9648233610489401,-0.7602453219130579,-1.077740160199561
-0.4819869893629411,-0.9462435665985188,-0.9648233610489401,-0.7602453219130579,-0.6009878435412959
-0.4819869893629411,-0.9462435665985193,-0.9648233610489401,-0.7602453219130579,-1.3410368492432592
-0.4819869893629411,-0.9462435665985193,-0.9648233610489401,-0.7602453219130579,-0.9474893015197231
-0.4819869893629411,-0.9462435665985188,-0.9648233610489401,-0.7602453219130579,-0.9255997534307664
-0.4819869893629411,-0.9462435665985182,-0.9648233610489401,-0.7602453219130579,-0.8862974399370077
-0.4819869893629411,-0.9462435665985183,-0.9648233610489401,-0.7602453219130579,-1.1667130114186222
-0.4819869893629411,-0.9462435665985165,-0.9648233610489401,-0.7602453219130579,-0.04145124864437477
-0.4819869893629411,-0.9462435665985172,-0.9648233610489401,-0.7602453219130579,-1.3087213406433764
-0.4819869893629411,-0.9462435665985167,-0.9648233610489401,-0.7602453219130579,-1.153758102460556
-0.4819869893629411,-0.9462435665985176,-0.9648233610489401,-0.7602453219130579,-0.3973003790931755
-0.4819869893629411,-0.9462435665985175,-0.9648233610489401,-0.7602453219130579,-1.1696831809157864
-0.4819869893629411,-0.946243566598519,-0.9648233610489401,-0.7602453219130579,-1.9925389657970431
-0.4819869893629411,-0.946243566598517,-0.9648233610489401,-0.7602453219130579,-0.5676327444476514
-0.4819869893629411,-0.9462435665985175,-0.9648233610489401,-0.7602453219130579,-0.43832112566655335
-0.4819869893629411,-0.9462435665985178,-0.9648233610489401,-0.7602453219130579,-1.5164721320658443
-0.4819869893629411,-0.9462435665985172,-0.9648233610489401,-0.7602453219130579,-0.9392509307248676
-0.4819869893629411,-0.9462435665985172,-0.9648233610489401,-0.7602453219130579,-0.7012627234208344
-0.4819869893629411,-0.9462435665985174,-0.9648233610489401,-0.7602453219130579,-1.2724288537435493
-0.4819869893629411,-0.9462435665985168,-0.9648233610489401,-0.7602453219130579,-1.6928440527639599
-0.4819869893629411,-0.9462435665985165,-0.9648233610489401,-0.7602453219130579,-0.8539768600471832
